21,"炭火やきとん 九州地魚 鯖又佐 八重洲店",35.6800138722,139.7714577823,"東京都中央区日本橋３－３－１２　Ｅ－１ビル　Ｂ１","月～木、祝前日: 11:30～13:30 （料理L.O. 13:00 ドリンクL.O. 13:00）17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）金: 11:30～13:30 （料理L.O. 13:00 ドリンクL.O. 13:00）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）","3001～4000円","https://www.hotpepper.jp/strJ001103237/?vos=nhppalsa000016","050-5257-8521","https://imgfp.hotp.jp/IMGH/40/61/P021224061/P021224061_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:38"
22,"銀座BAR NOKKTON 八重洲別邸",35.6798274907,139.7709497774,"東京都中央区日本橋３-4-14　八重洲N3ビルB1F","月～金、祝前日: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）","7001～10000円","https://www.hotpepper.jp/strJ001117375/?vos=nhppalsa000016","03-3527-9157","https://imgfp.hotp.jp/IMGH/18/22/P021531822/P021531822_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:38"
23,"薩摩魚鮮水産 八重洲中央口店",35.6799127550,139.7708020087,"東京都中央区日本橋３－４－１５　八重洲通りビルB１","月～木: 11:30～14:3016:00～翌3:00金、祝前日: 11:30～14:3016:00～翌5:00土、日、祝日: 16:00～23:30","3001～4000円","https://www.hotpepper.jp/strJ000740432/?vos=nhppalsa000016","050-5815-4528","https://imgfp.hotp.jp/IMGH/28/86/P027052886/P027052886_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:38"
24,"木村屋本店 東京八重洲北口",35.6802910574,139.7712405674,"東京都中央区日本橋３-3-3　八重洲山川ビル１-2階","月～木: 16:00～翌4:00金、土、祝前日: 16:00～翌5:00日、祝日: 16:00～23:00","4001～5000円","https://www.hotpepper.jp/strJ001009613/?vos=nhppalsa000016","050-5841-7277","https://imgfp.hotp.jp/IMGH/95/82/P024809582/P024809582_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:38"
25,"木村屋本店 東京駅八重洲J",35.6802910574,139.7712405674,"東京都中央区日本橋３-3-3　八重洲山川ビル１-2階","月～木: 16:00～翌4:00金、土、祝前日: 16:00～翌5:00日、祝日: 16:00～23:00","3001～4000円","https://www.hotpepper.jp/strJ000861792/?vos=nhppalsa000016","050-5816-6370","https://imgfp.hotp.jp/IMGH/56/80/P027135680/P027135680_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:39"
26,"塚田農場 八重洲北口店 北海道シントク町",35.6802910574,139.7712405674,"東京都中央区日本橋３-3-3　八重洲山川ビル【３階】","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）日、祝日: 16:00～23:00","3001～4000円","https://www.hotpepper.jp/strJ001027681/?vos=nhppalsa000016","050-5861-5425","https://imgfp.hotp.jp/IMGH/41/56/P026694156/P026694156_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:39"
27,"塚田農場 八重洲北口店 宮崎県日南市",35.6802910574,139.7712405674,"東京都中央区日本橋３-3-3　八重洲山川ビル4階","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）日、祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","3001～4000円","https://www.hotpepper.jp/strJ001027679/?vos=nhppalsa000016","050-5861-5584","https://imgfp.hotp.jp/IMGH/01/95/P024110195/P024110195_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:39"
28,"白木屋 八重洲中央口駅前店",35.6801818943,139.7709125441,"東京都中央区日本橋３－３－１５　Ｋ－１ビルＢ１Ｆ","月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）","2001～3000円","https://www.hotpepper.jp/strJ000010080/?vos=nhppalsa000016","03-5203-2888","https://imgfp.hotp.jp/IMGH/19/70/P027091970/P027091970_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:39"
29,"八吉 八重洲仲通り本店",35.6800660691,139.7707295087,"東京都中央区日本橋３－４－１　第二弥生ビル","月～木: 16:00～翌0:30 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）金、祝前日: 16:00～翌4:30土、日、祝日: 16:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）","3001～4000円","https://www.hotpepper.jp/strJ000006187/?vos=nhppalsa000016","050-5286-1051","https://imgfp.hotp.jp/IMGH/60/43/P022226043/P022226043_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:40"
30,"otanto 料理人W",35.6800663466,139.7707192318,"東京都中央区日本橋３-4-1 第二弥生ビル7F","月～木: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、祝前日: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）土: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","4001～5000円","https://www.hotpepper.jp/strJ001125996/?vos=nhppalsa000016","050-5828-1563","https://imgfp.hotp.jp/IMGH/65/37/P022196537/P022196537_238.jpg",NULL,"2017-05-12 06:48:52","2017-05-12 06:53:42"
